id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,10,10_143,M.USER.APP.10,14,285,199,199,None,387.85981308411215,1,388.85981308411215,1.0,1.0
2,COMP_M,3,3_52,M.USER.APP.3,4,136,183,183,None,423.55045871559633,7,430.55045871559633,7.0,7.0
3,COMP_M,1,1_19,M.USER.APP.1,1,91,193,193,None,72.16850393700787,28,100.16850393700787,28.0,28.0
7,COMP_M,5,5_75,M.USER.APP.5,7,165,195,195,None,147.26978417266187,51,198.26978417266187,51.0,51.0
4,COMP_M,8,8_114,M.USER.APP.8,10,253,187,195,None,191.41726618705036,83.00000110149631,274.41726728854667,29.0,83.00000110149631
8,COMP_M,19,19_235,M.USER.APP.19,28,472,194,194,None,64.99083619702176,91,155.99083619702176,91.0,91.0
10,COMP_M,16,16_207,M.USER.APP.16,25,424,193,193,None,92.78740157480316,112,204.78740157480314,112.0,112.0
11,COMP_M,15,15_190,M.USER.APP.15,23,382,199,199,None,466.33644859813086,126,592.3364485981308,126.0,126.0
3,COMP_M,1,1_20,1_(19-20),91,61,193,6,1_19,80.22961373390558,131.168504714491,211.3981184483966,100.16850393700787,131.168504714491
3,COMP_M,1,1_22,1_(19-22),91,63,193,5,1_19,252.2158273381295,148.16850557237214,400.3843329105016,100.16850393700787,148.16850557237214
3,COMP_M,1,1_25,1_(19-25),91,67,193,45,1_19,425.9805825242718,163.16850556746937,589.1490880917412,100.16850393700787,163.16850556746937
3,COMP_M,1,1_34,1_(19-34),91,87,193,40,1_19,346.2695652173913,173.16850638203854,519.4380715994298,100.16850393700787,173.16850638203854
13,COMP_M,0,0_0,M.USER.APP.0,0,59,197,197,None,138.62975778546712,179,317.6297577854671,179.0,179.0
12,COMP_M,12,12_149,M.USER.APP.12,16,330,184,195,None,177.74460431654677,209.0000016366138,386.74460595316054,151.0,209.0000016366138
8,COMP_M,19,19_236,19_(235-236),472,468,194,170,19_235,36.152852529601724,215.99083860472413,252.14369113432585,155.99083619702176,215.99083860472413
3,COMP_M,1,1_21,1_(20-21),61,62,6,15,1_20,45.6015503875969,217.39811862824925,262.99966901584617,211.3981184483966,217.39811862824925
3,COMP_M,1,1_31,1_(20-31),61,80,6,12,1_20,28.534342258440045,224.39811857089862,252.93246082933865,211.3981184483966,224.39811857089862
14,COMP_M,5,5_75,M.USER.APP.5,7,165,195,195,None,147.26978417266187,226,373.26978417266184,226.0,226.0
3,COMP_M,1,1_35,1_(20-35),61,88,6,52,1_20,55.91830065359477,230.3981194246575,286.31642007825224,211.3981184483966,230.3981194246575
7,COMP_M,5,5_76,5_(75-76),165,161,195,0,5_75,54.33904109589041,242.26978515317552,296.60882624906594,198.26978417266187,242.26978515317552
16,COMP_M,16,16_207,M.USER.APP.16,25,424,193,193,None,92.78740157480316,245,337.78740157480314,245.0,245.0
19,COMP_M,7,7_98,M.USER.APP.7,9,225,194,194,None,46.74570446735395,257,303.74570446735396,257.0,257.0
10,COMP_M,16,16_208,16_(207-208),424,417,193,153,16_207,3.7864786478647865,260.78740332733014,264.5738819751949,204.78740157480314,260.78740332733014
7,COMP_M,5,5_77,5_(75-77),165,162,195,26,5_75,72.9171270718232,267.2697852229049,340.1869122947281,198.26978417266187,267.2697852229049
5,COMP_M,8,8_114,M.USER.APP.8,10,253,187,195,None,191.41726618705036,274.41726728854667,465.834533475597,31.0,99.00000150728536
20,COMP_M,11,11_145,M.USER.APP.11,15,295,187,187,None,206.2049689440994,276,482.2049689440994,276.0,276.0
8,COMP_M,19,19_237,19_(236-237),468,471,170,123,19_236,103.78929765886288,294.1436917529281,397.93298941179097,252.14369113432585,294.1436917529281
7,COMP_M,5,5_78,5_(76-78),161,163,0,1,5_76,83.22026431718062,303.60882632983254,386.8290906470132,296.60882624906594,303.60882632983254
10,COMP_M,16,16_209,16_(208-209),417,419,153,158,16_208,44.53835978835979,309.57388327150386,354.11224305986366,264.5738819751949,309.57388327150386
