id,type,src,dst,app,latency,message,ctime,size,buffer
4,LINK,187,112,8,16.000000405789066,M.USER.APP.8,29,2925111,0
5,LINK,187,112,8,16.000000405789066,M.USER.APP.8,31,2925111,1
4,LINK,112,106,8,10.000000133947442,M.USER.APP.8,45.000000405789066,2925111,1
4,LINK,106,175,8,12.000000355223111,M.USER.APP.8,55.000000539736504,2925111,1
5,LINK,112,106,8,10.000000133947442,M.USER.APP.8,61.00000081157813,2925111,1
4,LINK,175,195,8,16.00000020653669,M.USER.APP.8,67.00000089495961,2925111,1
5,LINK,106,175,8,12.000000355223111,M.USER.APP.8,71.00000094552557,2925111,1
5,LINK,175,195,8,16.00000020653669,M.USER.APP.8,83.00000130074868,2925111,0
9,LINK,187,112,8,16.000000405789066,M.USER.APP.8,93,2925111,1
3,LINK,193,177,1,12.000000226958898,1_(19-20),100.16850393700787,2259246,1
3,LINK,193,177,1,12.000000378637527,1_(19-22),100.16850393700787,3769120,2
3,LINK,193,177,1,12.000000217908854,1_(19-25),100.16850393700787,2169158,3
3,LINK,193,177,1,12.000000407229626,1_(19-34),100.16850393700787,4053738,4
9,LINK,112,106,8,10.000000133947442,M.USER.APP.8,109.00000040578907,2925111,4
3,LINK,177,85,1,9.000000118539507,1_(19-20),112.16850416396677,2259246,4
9,LINK,106,175,8,12.000000355223111,M.USER.APP.8,119.0000005397365,2925111,4
3,LINK,85,6,1,10.000000431984727,1_(19-20),121.16850428250628,2259246,4
3,LINK,177,85,1,9.000000197760503,1_(19-22),124.1685045426043,3769120,4
9,LINK,175,195,8,16.00000020653669,M.USER.APP.8,131.0000008949596,2925111,4
3,LINK,85,6,1,10.000000720683927,1_(19-22),133.1685047403648,3769120,3
3,LINK,177,85,1,9.000000113812714,1_(19-25),136.16850476051314,2169158,3
3,LINK,6,5,1,5.00000011132342,1_(19-22),143.1685054610487,3769120,3
3,LINK,85,6,1,10.000000414759228,1_(19-25),145.16850487432586,2169158,3
3,LINK,177,85,1,9.000000212694015,1_(19-34),148.16850516774278,4053738,2
12,LINK,184,75,12,20.000000422650086,M.USER.APP.12,151,4470684,2
3,LINK,6,45,1,8.000000278384272,1_(19-25),155.1685052890851,2169158,2
8,LINK,194,190,19,12.000000353530563,19_(235-236),155.99083619702176,3968569,3
3,LINK,85,6,1,10.000000775105017,1_(19-34),157.16850538043678,4053738,3
3,LINK,6,40,1,6.000000226496748,1_(19-34),167.1685061555418,4053738,2
8,LINK,190,83,19,12.000000306614231,19_(235-236),167.99083655055233,3968569,2
12,LINK,75,106,12,10.000000355380738,M.USER.APP.12,171.0000004226501,4470684,2
8,LINK,83,2,19,8.000000299415982,19_(235-236),179.99083685716656,3968569,1
12,LINK,106,175,12,12.000000542916245,M.USER.APP.12,181.00000077803082,4470684,1
8,LINK,2,107,19,6.000000750937402,19_(235-236),187.99083715658253,3968569,1
12,LINK,175,195,12,16.00000031566675,M.USER.APP.12,193.00000132094706,4470684,1
8,LINK,107,84,19,6.000000292345578,19_(235-236),193.99083790751993,3968569,1
7,LINK,195,175,5,16.000000256361055,5_(75-76),198.26978417266187,3630757,2
7,LINK,195,175,5,16.000000141551627,5_(75-77),198.26978417266187,2004749,3
8,LINK,84,170,19,16.000000404858607,19_(235-236),199.99083819986552,3968569,3
10,LINK,193,177,16,12.000000299334326,16_(207-208),204.78740157480314,2979702,4
3,LINK,6,15,1,6.000000179852672,1_(20-21),211.3981184483966,3416465,4
3,LINK,6,5,1,5.000000052788334,1_(20-31),211.3981184483966,1787275,5
3,LINK,6,1,1,4.000000105824582,1_(20-35),211.3981184483966,3149384,6
7,LINK,175,106,5,12.00000044091619,5_(75-76),214.26978442902293,3630757,6
3,LINK,1,52,1,15.00000087043633,1_(20-35),215.39811855422116,3149384,6
3,LINK,5,12,1,8.000000069713705,1_(20-31),216.3981185011849,1787275,5
10,LINK,177,85,16,9.000000156340835,16_(207-208),216.78740187413746,2979702,5
10,LINK,85,15,16,10.000000637944721,16_(207-208),225.7874020304783,2979702,3
7,LINK,106,15,5,6.0000001545373145,5_(75-76),226.26978486993912,3630757,3
7,LINK,175,106,5,12.000000243455096,5_(75-77),230.26978457057456,2004749,3
7,LINK,15,0,5,10.000000128699106,5_(75-76),232.26978502447642,3630757,2
10,LINK,15,7,16,10.000000232506633,16_(207-208),235.787402668423,2979702,2
7,LINK,106,15,5,6.0000000853289075,5_(75-77),242.26978481402966,2004749,2
10,LINK,7,74,16,6.000000119472582,16_(207-208),245.78740290092964,2979702,1
17,LINK,181,104,16,20.00000028178436,M.USER.APP.16,246,3730083,2
7,LINK,15,6,5,6.000000105535829,5_(75-77),248.26978489935857,2004749,2
10,LINK,74,153,16,9.000000306927891,16_(207-208),251.78740302040222,2979702,2
8,LINK,170,84,19,16.00000019122715,19_(236-237),252.14369113432585,1874477,3
7,LINK,6,5,5,5.000000059211571,5_(75-77),254.2697850048944,2004749,3
7,LINK,5,26,5,8.000000158798892,5_(75-77),259.269785064106,2004749,3
10,LINK,153,74,16,9.000000320391733,16_(208-209),264.5738819751949,3110411,3
17,LINK,104,4,16,8.000000163365366,M.USER.APP.16,266.00000028178437,3730083,3
8,LINK,84,7,19,6.00000012861894,19_(236-237),268.143691325553,1874477,2
10,LINK,74,7,16,6.000000124713423,16_(208-209),273.57388229558666,3110411,2
17,LINK,4,6,16,4.00000014661759,M.USER.APP.16,274.00000044514974,3730083,2
8,LINK,7,3,19,3.0000000845008903,19_(236-237),274.1436914541719,1874477,2
4,LINK,195,175,8,16.000000280710417,8_(114-115),274.41726728854667,3975609,3
4,LINK,195,175,8,16.000000132262983,8_(114-117),274.41726728854667,1873197,4
4,LINK,195,175,8,16.000000151752175,8_(114-124),274.41726728854667,2149216,5
4,LINK,195,175,8,16.000000291583365,8_(114-125),274.41726728854667,4129599,6
8,LINK,3,94,19,8.000000086153923,19_(236-237),277.1436915386728,1874477,6
21,LINK,184,75,12,20.000000422650086,M.USER.APP.12,278,4470684,7
17,LINK,6,85,16,10.00000071321976,M.USER.APP.16,278.00000059176733,3730083,7
10,LINK,7,15,16,10.000000242705877,16_(208-209),279.5738824203001,3110411,7
8,LINK,94,123,19,9.000000128101389,19_(236-237),285.1436916248267,1874477,7
17,LINK,85,177,16,9.000000195712285,M.USER.APP.16,288.0000013049871,3730083,7
23,LINK,184,75,12,20.000000422650086,M.USER.APP.12,289,4470684,8
10,LINK,15,59,16,8.000000423992486,16_(208-209),289.573882663006,3110411,8
4,LINK,175,106,8,12.000000482794738,8_(114-115),290.4172675692571,3975609,8
7,LINK,0,2,5,3.000000033736588,5_(76-78),296.60882624906594,1942626,8
7,LINK,0,15,5,10.0000000716874,5_(76-79),296.60882624906594,2022388,9
17,LINK,177,193,16,12.000000374715956,M.USER.APP.16,297.0000015006994,3730083,9
10,LINK,59,158,16,12.000000184505387,16_(208-209),297.5738830869985,3110411,9
21,LINK,75,106,12,10.000000355380738,M.USER.APP.12,298.0000004226501,4470684,9
7,LINK,2,1,5,4.000000047030002,5_(76-78),299.6088262828025,1942626,9
4,LINK,106,109,8,8.000000153891017,8_(114-115),302.41726805205184,3975609,9
19,LINK,194,190,7,12.000000188393816,7_(98-99),303.74570446735396,2114821,9
19,LINK,194,190,7,12.0000001759561,7_(98-100),303.74570446735396,1975201,10
19,LINK,194,190,7,12.000000280858824,7_(98-101),303.74570446735396,3152790,11
19,LINK,194,190,7,12.000000398068938,7_(98-103),303.74570446735396,4468536,12
19,LINK,194,190,7,12.000000212095674,7_(98-105),303.74570446735396,2380887,13
19,LINK,194,190,7,12.00000039674713,7_(98-106),303.74570446735396,4453698,14
19,LINK,194,190,7,12.000000141574214,7_(98-107),303.74570446735396,1589246,15
19,LINK,194,190,7,12.000000211087883,7_(98-111),303.74570446735396,2369574,16
4,LINK,175,106,8,12.000000227479527,8_(114-117),306.4172677015201,1873197,16
7,LINK,15,78,5,9.00000013375176,5_(76-79),306.60882632075334,2022388,16
21,LINK,106,175,12,12.000000542916245,M.USER.APP.12,308.0000007780308,4470684,16
4,LINK,109,190,8,12.000000431016487,8_(114-115),310.41726820594283,3975609,14
19,LINK,190,109,7,12.000000229278763,7_(98-99),315.7457046557478,2114821,13
13,LINK,197,173,0,16.000000304071417,0_(0-1),317.6297577854671,1909837,14
13,LINK,197,173,0,16.00000033741641,0_(0-3),317.6297577854671,2119273,15
13,LINK,197,173,0,16.000000628469436,0_(0-4),317.6297577854671,3947343,16
13,LINK,197,173,0,16.000000662232363,0_(0-5),317.6297577854671,4159404,17
13,LINK,197,173,0,16.000000310149066,0_(0-6),317.6297577854671,1948010,18
13,LINK,197,173,0,16.00000063667911,0_(0-7),317.6297577854671,3998907,19
13,LINK,197,173,0,16.00000058169751,0_(0-11),317.6297577854671,3653574,20
23,LINK,75,106,12,10.000000355380738,M.USER.APP.12,318.0000008453002,4470684,20
4,LINK,106,15,8,6.000000079729609,8_(114-117),318.4172679289996,1873197,20
21,LINK,175,195,12,16.00000031566675,M.USER.APP.12,320.0000013209471,4470684,20
4,LINK,175,106,8,12.000000260999052,8_(114-124),322.4172678532723,2149216,20
4,LINK,190,194,8,12.000000354157704,8_(114-115),322.4172686369593,3975609,20
4,LINK,15,108,8,8.000000079533452,8_(114-117),324.4172680087292,1873197,20
19,LINK,190,83,7,12.000000152605319,7_(98-100),327.74570483170385,1975201,20
19,LINK,109,0,7,10.000000484991176,7_(98-99),327.74570488502656,2114821,20
23,LINK,106,175,12,12.000000542916245,M.USER.APP.12,328.0000012006809,4470684,20
4,LINK,108,134,8,15.000000399854036,8_(114-117),332.41726808826263,1873197,20
13,LINK,173,110,0,15.000000218505718,0_(0-1),333.62975808953854,1909837,20
4,LINK,106,15,8,6.0000000914779115,8_(114-124),334.41726811427134,2149216,20
19,LINK,0,35,7,6.000000099544813,7_(98-99),337.74570537001773,2114821,18
16,LINK,193,177,16,12.000000299334326,16_(207-208),337.78740157480314,2979702,19
4,LINK,175,106,8,12.00000050149516,8_(114-125),338.41726814485565,4129599,19
19,LINK,190,109,7,12.000000341810392,7_(98-101),339.7457051125627,3152790,18
23,LINK,175,195,12,16.00000031566675,M.USER.APP.12,340.0000017435972,4470684,18
4,LINK,15,6,8,6.000000113140993,8_(114-124),340.4172682057492,2149216,18
4,LINK,6,91,8,10.00000037505377,8_(114-124),346.4172683188902,2149216,17
13,LINK,110,6,0,6.000000276891625,0_(0-1),348.62975830804425,1909837,16
13,LINK,173,110,0,15.000000242467431,0_(0-3),349.62975842695494,2119273,16
16,LINK,177,85,16,9.000000156340835,16_(207-208),349.78740187413746,2979702,16
4,LINK,106,191,8,9.000001209003413,8_(114-125),350.4172686463508,4129599,16
19,LINK,109,104,7,6.000000613731209,7_(98-101),351.7457054543731,3152790,16
19,LINK,190,109,7,12.00000048445727,7_(98-103),351.74570551063164,4468536,16
10,LINK,158,59,16,12.00000016841206,16_(209-210),354.11224305986366,2839108,17
13,LINK,6,45,0,8.000000245103669,0_(0-1),354.62975858493587,1909837,17
19,LINK,104,78,7,9.00000023889824,7_(98-101),357.7457060681043,3152790,15
16,LINK,85,15,16,10.000000637944721,16_(207-208),358.7874020304783,2979702,15
13,LINK,45,192,0,15.000000690297707,0_(0-1),362.6297588300395,1909837,14
19,LINK,190,109,7,12.000000258124365,7_(98-105),363.7457057227273,2380887,14
19,LINK,109,106,7,8.000000172971626,7_(98-103),363.7457059950889,4468536,14
13,LINK,110,4,0,8.00000027587685,0_(0-3),364.62975866942236,2119273,14
13,LINK,173,110,0,15.000000451618133,0_(0-4),365.62975905542436,3947343,14
10,LINK,59,15,16,8.000000387010097,16_(209-210),366.1122432282757,2839108,14
16,LINK,15,7,16,10.000000232506633,16_(207-208),368.787402668423,2979702,13
19,LINK,106,75,7,10.000000355209991,7_(98-103),371.7457061680605,4468536,13
13,LINK,4,104,0,8.000000092817187,0_(0-3),372.6297589452992,2119273,13
14,LINK,195,175,5,16.000000256361055,5_(75-76),373.26978417266184,3630757,14
14,LINK,195,175,5,16.000000141551627,5_(75-77),373.26978417266184,2004749,15
10,LINK,15,7,16,10.000000221536059,16_(209-210),374.1122436152858,2839108,15
4,LINK,194,190,8,12.000000344193278,8_(115-116),374.4653789567527,3863753,16
4,LINK,194,190,8,12.00000015727467,8_(115-118),374.4653789567527,1765492,17
4,LINK,194,190,8,12.000000312761898,8_(115-121),374.4653789567527,3510919,18
4,LINK,194,190,8,12.000000252978277,8_(115-123),374.4653789567527,2839816,19
19,LINK,190,83,7,12.000000344095614,7_(98-106),375.74570611947445,4453698,19
19,LINK,109,79,7,10.000000735012943,7_(98-105),375.74570625321326,2380887,19
16,LINK,7,74,16,6.000000119472582,16_(207-208),378.78740290092964,2979702,18
29,LINK,181,104,12,20.000000337732118,M.USER.APP.12,379,4470684,19
13,LINK,110,6,0,6.000000572292932,0_(0-4),380.6297595070425,3947343,18
13,LINK,173,110,0,15.000000475880173,0_(0-5),381.6297597176567,4159404,18
19,LINK,75,184,7,20.00000042244702,7_(98-103),381.7457065232705,4468536,18
30,LINK,181,104,16,20.00000028178436,M.USER.APP.16,384,3730083,19
16,LINK,74,153,16,9.000000306927891,16_(207-208),384.7874030204022,2979702,19
19,LINK,79,111,7,6.00000014966406,7_(98-105),385.7457069882262,2380887,19
13,LINK,6,79,0,8.000001182108912,0_(0-4),386.6297600793354,3947343,19
12,LINK,195,175,12,16.000000231378333,12_(149-150),386.74460595316054,3276935,20
12,LINK,195,175,12,16.000000156120564,12_(149-152),386.74460595316054,2211084,21
12,LINK,195,175,12,16.00000012110012,12_(149-160),386.74460595316054,1715101,22
12,LINK,195,175,12,16.000000315056976,12_(149-161),386.74460595316054,4462048,23
12,LINK,195,175,12,16.00000021954596,12_(149-163),386.74460595316054,3109357,24
19,LINK,190,109,7,12.000000172298439,7_(98-107),387.74570626104867,1589246,24
19,LINK,83,2,7,8.00000033601743,7_(98-106),387.74570646357006,4453698,24
19,LINK,35,0,7,6.0000001520113,7_(99-102),388.62070546956255,3229467,25
10,LINK,7,105,16,10.000000202314535,16_(209-210),388.7874031224657,2839108,25
1,LINK,199,197,10,15.000000236880357,10_(143-144),388.85981308411215,1647257,26
14,LINK,175,106,5,12.00000044091619,5_(75-76),389.2697844290229,3630757,26
19,LINK,111,152,7,9.000000139258754,7_(98-105),391.74570713789024,2380887,26
19,LINK,0,2,7,3.0000000560844953,7_(99-102),394.62070562157385,3229467,25
13,LINK,79,149,0,15.000000203923463,0_(0-4),394.62976126144434,3947343,25
13,LINK,110,4,0,8.000000541451373,0_(0-5),396.6297601935369,4159404,24
16,LINK,153,74,16,9.000000320391733,16_(208-209),397.5738819751949,3110411,25
19,LINK,2,1,7,4.000000078183778,7_(99-102),397.62070567765835,3229467,25
13,LINK,173,110,0,15.000000222873117,0_(0-6),397.6297600278058,1948010,25
31,LINK,184,75,12,20.000000422650086,M.USER.APP.12,398,4470684,26
10,LINK,105,166,16,9.00000014459521,16_(209-210),398.78740332478026,2839108,26
29,LINK,104,106,12,6.00000018732737,M.USER.APP.12,399.0000003377321,4470684,26
19,LINK,109,0,7,10.000000364461242,7_(98-107),399.7457064333471,1589246,26
19,LINK,190,109,7,12.000000256897863,7_(98-111),399.74570647213653,2369574,26
3,LINK,5,6,1,5.000000095092693,1_(22-23),400.3843329105016,3219590,27
14,LINK,106,15,5,6.0000001545373145,5_(75-76),401.2697848699391,3630757,26
19,LINK,1,102,7,8.00000016508996,7_(99-102),401.62070575584215,3229467,26
1,LINK,197,173,10,16.000000262265193,10_(143-144),403.8598133209925,1647257,25
13,LINK,4,86,0,12.000000403155493,0_(0-5),404.6297607349883,4159404,25
29,LINK,106,175,12,12.000000542916245,M.USER.APP.12,405.0000005250595,4470684,25
14,LINK,175,106,5,12.000000243455096,5_(75-77),405.26978457057453,2004749,25
3,LINK,6,15,1,6.000000169488599,1_(22-23),405.38433300559427,3219590,25
16,LINK,74,7,16,6.000000124713423,16_(208-209),406.57388229558666,3110411,25
14,LINK,15,0,5,10.000000128699106,5_(75-76),407.2697850244764,3630757,25
19,LINK,102,164,7,9.000000173659899,7_(99-102),409.6207059209321,3229467,24
19,LINK,0,110,7,6.000000136894744,7_(98-107),409.74570679780834,1589246,23
19,LINK,78,15,7,9.000000257209388,7_(101-104),410.71659422548873,3889124,24
3,LINK,15,68,1,12.000000278551727,1_(22-23),411.3843331750829,3219590,24
19,LINK,109,3,7,6.0000001607862705,7_(98-111),411.7457067290344,2369574,24
4,LINK,190,109,8,12.000000418889593,8_(115-116),411.7457068163298,3863753,24
25,LINK,193,177,18,12.000000154089918,18_(218-219),412.0346456692913,1533877,25
25,LINK,193,177,18,12.000000406795248,18_(218-223),412.0346456692913,4049414,26
25,LINK,193,177,18,12.000000209041746,18_(218-225),412.0346456692913,2080891,27
25,LINK,193,177,18,12.000000322640638,18_(218-226),412.0346456692913,3211703,28
25,LINK,193,177,18,12.000000353496555,18_(218-231),412.0346456692913,3518856,29
16,LINK,7,15,16,10.000000242705877,16_(208-209),412.5738824203001,3110411,29
13,LINK,110,5,0,10.000000106493774,0_(0-6),412.6297602506789,1948010,29
13,LINK,173,110,0,15.000000457517604,0_(0-7),413.62976066448493,3998907,29
32,LINK,187,112,8,16.000000405789066,M.USER.APP.8,414,2925111,30
19,LINK,110,137,7,12.00000025630189,7_(98-107),415.7457069347031,1589246,30
29,LINK,175,195,12,16.00000031566675,M.USER.APP.12,417.00000106797575,4470684,29
14,LINK,106,15,5,6.0000000853289075,5_(75-77),417.2697848140296,2004749,29
31,LINK,75,106,12,10.000000355380738,M.USER.APP.12,418.0000004226501,4470684,27
30,LINK,104,4,16,8.000000163365366,M.USER.APP.16,419.00000061951647,3730083,26
19,LINK,15,7,7,10.00000030346898,7_(101-104),419.7165944826981,3889124,26
12,LINK,175,106,12,12.000000397948334,12_(149-150),421.2697848019529,3276935,26
16,LINK,15,59,16,8.000000423992486,16_(208-209),422.573882663006,3110411,26
13,LINK,5,30,0,6.000000553403757,0_(0-6),422.62976035717264,1948010,26
14,LINK,15,6,5,6.000000105535829,5_(75-77),423.2697848993585,2004749,26
4,LINK,190,109,8,12.000000191406187,8_(115-118),423.74570697360446,1765492,25
4,LINK,109,106,8,8.000000149561206,8_(115-116),423.7457072352194,3863753,25
25,LINK,177,85,18,9.000000080480401,18_(218-219),424.0346458233812,1533877,25
30,LINK,4,6,16,4.00000014661759,M.USER.APP.16,427.00000078288184,3730083,25
31,LINK,106,175,12,12.000000542916245,M.USER.APP.12,428.0000007780308,4470684,24
13,LINK,110,112,0,6.000000194123688,0_(0-7),428.62976112200255,3998907,23
14,LINK,6,5,5,5.000000059211571,5_(75-77),429.26978500489435,2004749,23
13,LINK,173,110,0,15.000000418007827,0_(0-11),429.6297612461824,3653574,23
19,LINK,7,66,7,6.00000113801662,7_(101-104),429.7165947861671,3889124,23
32,LINK,112,106,8,10.000000133947442,M.USER.APP.8,430.0000004057891,2925111,23
2,LINK,183,107,3,20.00000066939514,3_(52-53),430.55045871559633,3541275,24
16,LINK,59,158,16,12.000000184505387,16_(208-209),430.5738830869985,3110411,24
17,LINK,193,177,16,12.000000299334326,16_(207-208),430.5748031496063,2979702,25
30,LINK,6,85,16,10.00000071321976,M.USER.APP.16,431.00000092949944,3730083,25
4,LINK,106,185,8,9.000000279064485,8_(115-116),431.74570738478064,3863753,25
25,LINK,85,15,18,10.000000328398187,18_(218-219),433.0346459038616,1533877,24
13,LINK,149,79,0,15.000000102496138,0_(4-10),433.1505947987011,1984016,25
12,LINK,106,15,12,6.000000139477452,12_(149-150),433.2697851999012,3276935,25
14,LINK,5,26,5,8.000000158798892,5_(75-77),434.2697850641059,2004749,25
13,LINK,112,185,0,15.00000138089718,0_(0-7),434.62976131612623,3998907,25
4,LINK,190,109,8,12.000000380637022,8_(115-121),435.7457072863664,3510919,24
4,LINK,109,3,8,6.000000119796586,8_(115-118),435.7457074266256,1765492,24
25,LINK,177,85,18,9.00000021246714,18_(218-223),436.03464623017646,4049414,24
12,LINK,175,106,12,12.00000026851225,12_(149-152),437.26978495807344,2211084,24
12,LINK,15,43,12,12.000000286608463,12_(149-150),439.26978533937864,3276935,24
32,LINK,106,175,8,12.000000355223111,M.USER.APP.8,440.0000005397365,2925111,24
31,LINK,175,195,12,16.00000031566675,M.USER.APP.12,440.0000013209471,4470684,24
4,LINK,185,196,8,16.000000648423445,8_(115-116),440.7457076638451,3863753,24
30,LINK,85,177,16,9.000000195712285,M.USER.APP.16,441.0000016427192,3730083,24
4,LINK,3,7,8,3.0000000795878776,8_(115-118),441.7457075464222,1765492,24
25,LINK,15,62,18,9.000000248232658,18_(218-219),443.0346462322598,1533877,22
13,LINK,110,5,0,10.000000199733515,0_(0-11),444.6297616641902,3653574,22
4,LINK,7,64,8,9.000000238530843,8_(115-118),444.7457076260101,1765492,22
25,LINK,85,15,18,10.000000866966658,18_(218-223),445.0346464426436,4049414,22
1,LINK,173,110,10,15.000000188463767,10_(143-144),445.6297615084476,1647257,22
4,LINK,190,109,8,12.00000030787925,8_(115-123),447.74570753934466,2839816,22
4,LINK,109,108,8,6.00000014989515,8_(115-121),447.7457078072626,3510919,22
25,LINK,177,85,18,9.000000109181467,18_(218-225),448.0346464392182,2080891,22
13,LINK,79,6,0,8.000000594152318,0_(4-10),448.1505949011972,1984016,22
12,LINK,106,104,12,6.000000092647244,12_(149-152),449.26978522658567,2211084,22
13,LINK,185,196,0,16.000000671105283,0_(0-7),449.6297626970234,3998907,22
30,LINK,177,193,16,12.000000374715956,M.USER.APP.16,450.0000018384315,3730083,22
2,LINK,107,2,3,6.000000670084317,3_(52-53),450.5504593849915,3541275,22
32,LINK,175,195,8,16.00000020653669,M.USER.APP.8,452.0000016761702,2925111,21
12,LINK,175,106,12,12.000000208280477,12_(149-160),453.2697850791736,1715101,20
4,LINK,108,50,8,9.00000042602889,8_(115-121),453.7457079571577,3510919,19
13,LINK,5,111,0,8.000000782347213,0_(0-11),454.6297618639237,3653574,19
25,LINK,15,7,18,10.000000315976434,18_(218-223),455.03464730961025,4049414,19
12,LINK,104,125,12,15.000000163826206,12_(149-152),455.26978531923294,2211084,19
